"PROJ_ID","MONTH_DT","SCHEDULED","COMPLETED"
"Proj-9-150",2013-05-24,68,62
"Proj-12-149",2013-05-29,81,81
"Proj-7-153",2013-06-20,194,194
"Proj-14-152",2013-06-21,68,31.5
"Proj-16-152",2013-06-21,60.5,55.5
"Proj-31-152",2013-06-21,111.5,111.5
"Proj-32-152",2013-06-21,382,39
"Proj-33-152",2013-06-21,19,11
"Proj-5-152",2013-06-21,30,30
"Proj-6-152",2013-06-21,28,22.5
"Proj-8-152",2013-06-21,71,58
"Proj-9-152",2013-06-21,89,59
"Proj-7-156",2013-07-15,199,199
"Proj-12-155",2013-07-25,158,158
"Proj-10-159",2013-08-09,1248,1247
"Proj-7-158",2013-09-12,233,233
"Proj-12-155",2013-09-26,1,1
"Proj-12-157",2013-09-26,197,197
"Proj-14-135",2013-10-04,25,5
"Proj-16-135",2013-10-04,83.5,21
"Proj-31-135",2013-10-04,43.5,43.5
"Proj-32-135",2013-10-04,5,5
"Proj-33-135",2013-10-04,26,24
"Proj-5-135",2013-10-04,24,8
"Proj-6-135",2013-10-04,69,41
"Proj-8-135",2013-10-04,54,47.5
"Proj-9-135",2013-10-04,74,66
"Proj-7-160",2013-10-17,251,251
"Proj-10-162",2013-10-18,835,824
"Proj-7-161",2013-11-22,236,236
"Proj-12-163",2013-12-05,181,181
"Proj-14-139",2013-12-06,78,50
"Proj-16-139",2013-12-06,120,81.5
"Proj-31-139",2013-12-06,121.5,121.5
"Proj-32-139",2013-12-06,6.1,6.1
"Proj-33-139",2013-12-06,6.5,6.5
"Proj-5-139",2013-12-06,58,25
"Proj-6-139",2013-12-06,55,44
"Proj-8-139",2013-12-06,107,114
"Proj-9-139",2013-12-06,126.5,118.5
"Proj-7-164",2013-12-12,170,170
"Proj-14-165",2013-12-13,79,78
"Proj-16-165",2013-12-13,84,58
"Proj-31-165",2013-12-13,48.5,48.5
"Proj-33-165",2013-12-13,33,33
"Proj-5-165",2013-12-13,36,28
"Proj-6-165",2013-12-13,32,31.5
"Proj-8-165",2013-12-13,93.5,86.5
"Proj-9-165",2013-12-13,168.5,94.5
"Proj-7-167",2014-01-16,253,253
"Proj-12-166",2014-01-23,79,79
"Proj-10-169",2014-01-24,678,678
"Proj-7-168",2014-02-20,307,307
"Proj-10-172",2014-03-02,131,128
"Proj-10-176",2014-03-14,453,439
"Proj-7-171",2014-03-20,222,222
"Proj-12-163",2014-03-26,1,1
"Proj-12-170",2014-03-26,145,145
"Proj-10-177",2014-03-28,494,478
"Proj-14-135",2014-03-28,64,58
"Proj-16-135",2014-03-28,67,35
"Proj-31-135",2014-03-28,131,131
"Proj-33-135",2014-03-28,62,62
"Proj-34-135",2014-03-28,88,62
"Proj-5-135",2014-03-28,58,27
"Proj-6-135",2014-03-28,23,16.5
"Proj-8-135",2014-03-28,73,44.5
"Proj-9-135",2014-03-28,103,90
"Proj-7-173",2014-04-17,292,292
"Proj-14-139",2014-05-02,50,38
"Proj-16-139",2014-05-02,80,50
"Proj-31-139",2014-05-02,118.5,118.5
"Proj-33-139",2014-05-02,55,68
"Proj-34-139",2014-05-02,113,93
"Proj-5-139",2014-05-02,78,71
"Proj-6-139",2014-05-02,47.5,30.5
"Proj-8-139",2014-05-02,92.5,68
"Proj-9-139",2014-05-02,93,88
"Proj-7-175",2014-05-23,305,305
"Proj-12-174",2014-05-27,192,192
"Proj-14-165",2014-06-06,61,48
"Proj-16-165",2014-06-06,54.5,41.5
"Proj-31-165",2014-06-06,71,54
"Proj-33-165",2014-06-06,70,44
"Proj-34-165",2014-06-06,76,56
"Proj-5-165",2014-06-06,38,43
